contrast,Duplication,Layer,estimate,SE,df,t.ratio,p.value
Homogeneous - Uniform,4,GC,10.4663046056262,0.429024556769883,216.999999999994,24.3955839834131,4.08001164339508e-64
Homogeneous - Uniform,8,GC,10.0612189214606,0.429024556769882,216.999999999994,23.4513823572509,2.05230467626963e-61
Homogeneous - Uniform,16,GC,10.7824071172446,0.429024556769882,217,25.1323774993795,3.437478460312e-66
Homogeneous - Uniform,32,GC,10.2183378331034,0.429024556769882,216.999999999997,23.8176059432054,1.81406526641724e-62
Homogeneous - Uniform,4,MC,8.16258212403256,0.429024556769882,216.99999999999,19.0259088791758,3.894736326223e-48
Homogeneous - Uniform,8,MC,9.46135269548082,0.429024556769882,216.999999999994,22.0531728223558,2.51607214334279e-57
Homogeneous - Uniform,16,MC,9.94786557919495,0.429024556769882,216.999999999994,23.1871705761839,1.19355506607275e-60
Homogeneous - Uniform,32,MC,10.1695489106578,0.429024556769882,216.999999999997,23.7038853608384,3.84626887794387e-62
