contrast,Duplication,Layer,estimate,SE,df,t.ratio,p.value
Homogeneous - Uniform,4,GC,-16.0639880952376,0.721377267425607,216.999999999994,-22.2684978036049,5.8125619775264e-58
Homogeneous - Uniform,8,GC,-26.7745535714286,0.721377267425606,217,-37.1158820501504,6.06962257209351e-96
Homogeneous - Uniform,16,GC,-28.8690476190477,0.721377267425606,217.000000000004,-40.0193476044418,3.85720719655859e-102
Homogeneous - Uniform,32,GC,-28.8839285714287,0.721377267425606,217,-40.0399761341349,3.49521017094399e-102
Homogeneous - Uniform,4,MC,-15.7068452380953,0.721377267425605,217.000000000004,-21.7734130909734,1.70254792741223e-56
Homogeneous - Uniform,8,MC,-22.9464285714286,0.721377267425603,217.000000000004,-31.8091927866233,1.17814737904576e-83
Homogeneous - Uniform,16,MC,-26.9568452380952,0.721377267425607,217.000000000004,-37.3685815388897,1.69753438384161e-96
Homogeneous - Uniform,32,MC,-25.0148809523809,0.721377267425607,217.000000000004,-34.6765584139517,1.85897833583316e-90
